,인문학,에세이,소설/시/희곡,경제경영,청소년,자기계발,종교/역학,외국어,사회과학,좋은부모,유아,어린이,예술/대중문화,역사,건강/취미,요리/살림,과학,성인물,고전,만화,여행,컴퓨터/모바일,대학교재/전문서적
2010,411.4,373.15909090909093,384.1012658227848,355.6521739130435,282.06666666666666,295.775,305.3181818181818,435.75,382.15384615384613,395.0,31.705882352941178,210.4878048780488,366.0,320.0,201.83333333333334,231.75,417.6,,,,,,
2011,378.77777777777777,349.29411764705884,375.5263157894737,373.8235294117647,276.4117647058824,301.6585365853659,285.29411764705884,450.05555555555554,275.46666666666664,383.0,39.31818181818182,204.71428571428572,328.0,384.0,158.5,274.2857142857143,294.3333333333333,,233.0,320.0,,,
2012,422.92,319.08,460.59090909090907,373.4117647058824,391.8,320.03125,265.5,483.30434782608694,309.0769230769231,410.75,44.36363636363637,216.40540540540542,128.0,425.6,272.0,267.8333333333333,448.6,,233.0,196.0,,,
2013,418.5,311.1923076923077,424.58878504672896,325.55555555555554,370.85714285714283,316.4193548387097,286.6666666666667,445.69565217391306,282.5,367.6666666666667,78.15384615384616,208.05,207.0,2297.3333333333335,144.0,308.1111111111111,548.0,,233.0,324.3333333333333,396.0,,
2014,451.8857142857143,287.0416666666667,431.6186440677966,368.0,286.5,306.3333333333333,294.0,414.74074074074076,377.0,355.8235294117647,42.5945945945946,256.94444444444446,152.0,1282.8333333333333,132.0,326.77777777777777,568.5,,233.0,452.5,380.0,,
2015,392.7241379310345,308.90909090909093,408.4770642201835,351.6,268.0,293.1875,428.0,436.8666666666667,289.9230769230769,424.7692307692308,70.9,136.95,320.0,361.3333333333333,80.66666666666667,313.75,546.1428571428571,,233.0,328.22222222222223,624.0,620.0,
2016,354.55882352941177,304.62857142857143,358.5123966942149,359.6363636363636,304.0,306.3333333333333,280.0,503.0882352941176,338.75,364.6,74.52631578947368,266.4,210.66666666666666,927.3,195.0,273.0,566.1111111111111,,233.0,206.14285714285714,566.0,620.0,
2017,380.88235294117646,278.375,347.8918918918919,377.5416666666667,296.0,309.8636363636364,280.0,472.15555555555557,283.3333333333333,475.5,74.72222222222223,239.19230769230768,263.0,966.9,240.0,344.0,503.375,,233.0,340.6666666666667,566.0,620.0,
2018,364.1842105263158,303.6744186046512,342.89285714285717,375.04347826086956,236.0,323.1764705882353,280.0,412.11538461538464,428.0,292.0,35.0,173.53846153846155,334.6666666666667,445.3333333333333,315.2,354.0,471.1,,233.0,670.7,566.0,367.3333333333333,
2019,434.6818181818182,305.0,350.5268817204301,352.0,200.0,315.14285714285717,280.0,422.84375,315.75,295.0,25.0,173.28947368421052,503.0,431.42857142857144,396.0,228.66666666666666,469.54545454545456,,233.0,286.7368421052632,566.0,404.0,
2020,431.0,265.25925925925924,329.4533333333333,402.19607843137254,267.25,303.9,280.0,454.35,357.46666666666664,340.0,48.0,175.90384615384616,440.0,422.4,248.4,226.0,499.54545454545456,,233.0,249.55555555555554,566.0,506.0,
2021,382.7142857142857,274.88,529.3582089552239,364.3157894736842,216.0,312.85714285714283,280.0,469.85714285714283,381.3333333333333,340.0,59.333333333333336,163.35,366.0,383.0,484.0,226.0,523.9,,233.0,211.8235294117647,566.0,506.0,408.0
2022,337.2,284.0,325.2769230769231,397.1111111111111,276.6666666666667,321.88,320.0,455.55,340.8888888888889,401.0,48.8,170.76315789473685,471.5,403.0,419.0,204.0,513.375,,233.0,199.375,566.0,534.0,408.0
2023,427.44,273.30434782608694,306.3787878787879,411.94871794871796,290.6666666666667,362.1515151515151,412.0,494.08,354.6666666666667,326.4,28.4,171.28571428571428,332.0,350.0,381.125,144.0,529.7272727272727,,233.0,236.12962962962962,566.0,725.0,408.0
